"Year","E_coli","Rain_Intensity","Water_Temperature","Dew_Point","Humidity","Wind_Speed","Barometric_Pressure","Visibility","Cloud_Cover"
2006,181.417278673156,0.00407791044776119,79.5172014925373,60.0845970149254,0.674783582089552,8.09253731343284,1015.74779850746,9.10894029850746,0.51460447761194
2007,212.349783434595,0.00550336435218325,80.3621255349501,60.0660770328103,0.659743223965763,6.07410128388017,1015.41732524964,9.17343081312411,0.501947218259629
2008,127.075465281126,0.00319550561797753,77.7726816479401,58.1523970037453,0.655970037453183,7.8559925093633,1014.48245692884,9.59050936329588,0.503707865168539
2009,151.212873096379,0.00472805611222445,74.567254509018,55.5798597194389,0.670467601870407,6.27848363393454,1014.51105544422,9.38977955911824,0.546199064796259
2010,142.960414351884,0.00562890733056708,80.7317980636238,61.3734439834025,0.666286307053942,6.26398340248963,1014.91943983402,9.5363969571231,0.467213001383126
2011,121.55593913713,0.00537060788243153,79.4427054108216,60.1829792919172,0.668269873079492,6.87972611890448,1013.19926519706,9.46778223112892,0.489124916499666
2012,126.438538827596,0.00256851119894598,80.9914229249012,57.0444993412385,0.576574440052701,7.41689723320158,1014.41588932806,9.76790513833992,0.384123847167325
2013,142.237954124471,0.00424987228607918,76.7241315453384,58.1350957854406,0.670319284802043,7.05815453384419,1015.6095083014,9.45173052362708,0.421162196679438
2014,139.478039293315,0.00662860875244938,74.9321293272371,58.5360809928152,0.711789679947747,6.34242325277596,1014.84687132593,9.3186283474853,0.308291721419185
2015,127.301140009684,0.00410946196660482,75.3871243042672,58.1550340136054,0.706982065553494,7.05814471243043,1014.53386518244,9.37811997526283,0.308604361370717
2016,123.721787736159,0.00388678977272727,80.4686292613636,63.9030255681818,0.717691761363636,6.5084375,1014.88681107955,9.64899147727273,0.276392045454545
